"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\analytics_dashboard\analytics_dashboard_screen.dart", "Dart", 57, 0, 3, 60
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\analytics_dashboard\widgets\learning_streak_card.dart", "Dart", 73, 0, 4, 77
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\analytics_dashboard\widgets\recommendations_card.dart", "Dart", 55, 0, 4, 59
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\analytics_dashboard\widgets\skills_progress_card.dart", "Dart", 67, 0, 4, 71
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\analytics_dashboard\widgets\weekly_progress_card.dart", "Dart", 97, 0, 4, 101
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\course_detail\course_detail_screen.dart", "Dart", 184, 5, 13, 202
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\course_detail\widgets\action_buttons.dart", "Dart", 94, 3, 3, 100
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\course_detail\widgets\course_detail_app_bar.dart", "Dart", 56, 0, 3, 59
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\course_detail\widgets\course_info_card.dart", "Dart", 141, 0, 10, 151
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\course_detail\widgets\lesson_list.dart", "Dart", 147, 1, 11, 159
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\course_detail\widgets\lesson_tile.dart", "Dart", 57, 0, 4, 61
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\course_detail\widgets\review_dialog.dart", "Dart", 152, 0, 9, 161
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\course_detail\widgets\reviews_section.dart", "Dart", 345, 2, 28, 375
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\course_detail\widgets\shimmer_review_tile.dart", "Dart", 120, 4, 4, 128
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\course_list\course_list_screen.dart", "Dart", 251, 2, 26, 279
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\course_list\widgets\course_card.dart", "Dart", 166, 0, 4, 170
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\course_list\widgets\course_filter_dialog.dart", "Dart", 115, 0, 13, 128
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\course_list\widgets\empty_state_widget.dart", "Dart", 55, 0, 4, 59
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\course_search\course_search_screen.dart", "Dart", 174, 0, 13, 187
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\lesson_screen\lesson_screen.dart", "Dart", 223, 0, 12, 235
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\lesson_screen\widgets\certificate_dialog.dart", "Dart", 77, 1, 4, 82
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\lesson_screen\widgets\resource_tile.dart", "Dart", 115, 3, 9, 127
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\payment\payment_screen.dart", "Dart", 89, 0, 6, 95
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\payment\widgets\order_summary.dart", "Dart", 56, 0, 4, 60
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\payment\widgets\payment_success_dialog.dart", "Dart", 47, 0, 3, 50
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\course\payment\widgets\payment_webview.dart", "Dart", 67, 8, 8, 83
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\help_and_support\help_and_support_screen.dart", "Dart", 124, 0, 13, 137
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\help_and_support\widgets\contact_tile.dart", "Dart", 69, 0, 4, 73
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\help_and_support\widgets\faq_tile.dart", "Dart", 43, 0, 3, 46
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\help_and_support\widgets\help_search_bar.dart", "Dart", 29, 0, 3, 32
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\help_and_support\widgets\help_section.dart", "Dart", 23, 0, 3, 26
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\home\home_screen.dart", "Dart", 60, 0, 8, 68
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\home\widgets\category_section.dart", "Dart", 98, 0, 6, 104
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\home\widgets\home_app_bar.dart", "Dart", 64, 0, 4, 68
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\home\widgets\in_progress_section.dart", "Dart", 142, 0, 5, 147
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\home\widgets\recommended_course_card.dart", "Dart", 176, 0, 4, 180
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\home\widgets\recommended_section.dart", "Dart", 112, 0, 13, 125
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\home\widgets\search_bar_widget.dart", "Dart", 45, 0, 3, 48
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\home\widgets\shimmer_category_card.dart", "Dart", 70, 3, 5, 78
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\home\widgets\shimmer_category_section.dart", "Dart", 30, 0, 3, 33
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\home\widgets\shimmer_recommended_course_card.dart", "Dart", 124, 4, 4, 132
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\home\widgets\shimmer_recommeneded_section.dart", "Dart", 41, 0, 3, 44
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\notifications\notifications_screen.dart", "Dart", 52, 0, 3, 55
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\notifications\widgets\notification_card.dart", "Dart", 71, 0, 4, 75
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\notifications\widgets\notification_setting_tile.dart", "Dart", 48, 0, 3, 51
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\notifications\widgets\notification_settings_section.dart", "Dart", 61, 0, 4, 65
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\notifications\widgets\notifications_list.dart", "Dart", 22, 0, 3, 25
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\onboarding\onboarding_screen.dart", "Dart", 127, 4, 8, 139
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\onboarding\widgets\common\custom_button.dart", "Dart", 88, 0, 6, 94
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\onboarding\widgets\common\custom_textfield.dart", "Dart", 93, 0, 6, 99
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\onboarding\widgets\onboarding_page_widget.dart", "Dart", 50, 1, 3, 54
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\privacy_&_terms_conditions\privacy_policy_screen.dart", "Dart", 89, 0, 12, 101
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\privacy_&_terms_conditions\terms_conditions_screen.dart", "Dart", 89, 0, 12, 101
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\privacy_&_terms_conditions\widgets\legal_document_section.dart", "Dart", 35, 0, 4, 39
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\profile\edit_profile_screen.dart", "Dart", 289, 5, 10, 304
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\profile\profile_screen.dart", "Dart", 68, 1, 6, 75
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\profile\widgets\edit_profile_app_bar.dart", "Dart", 33, 0, 5, 38
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\profile\widgets\profile_app_bar.dart", "Dart", 100, 0, 3, 103
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\profile\widgets\profile_option_card.dart", "Dart", 83, 0, 5, 88
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\profile\widgets\profile_options.dart", "Dart", 54, 0, 3, 57
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\profile\widgets\profile_picture_bottom_sheet.dart", "Dart", 70, 2, 8, 80
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\profile\widgets\profile_stats_card.dart", "Dart", 54, 0, 4, 58
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\quiz\quiz_attempt\quiz_attempt_screen.dart", "Dart", 160, 2, 19, 181
